feature_index,divergence
0,1.7497106267653233
1,3.1457690301833887
2,2.3291087465915408
3,1.7249271687607113
4,1.2705645501397054
5,1.74566905157174
6,2.090062331320461
7,1.046544566845295
8,3.218780258431105
9,1.9648343906671153
10,1.053688577931194
11,2.929256674663969
12,1.9645943185312469
13,1.053262002704634
14,2.929256674663969
15,1.5826441424889344
16,0.6949358148057524
17,2.176983101799975
18,4.3391936008851655
19,2.6226051489173465
20,4.585977576505531
21,3.355839837558299
22,3.1381810781651196
23,4.931737457919303
24,1.1738532748384753
25,1.5107491763608418
26,1.702079790619559
27,3.4143808627375103
28,2.3743788246243502
29,4.635342868951228
30,3.206703617336383
31,1.5307672416678475
32,3.0864974886195538
33,1.719633602872368
34,1.2608216607303624
35,1.7453823978774372
36,1.9479235589200852
37,1.025810406634632
38,2.6996516703133864
39,1.8384322973999117
40,1.0472144022140966
41,2.4440949128179175
42,1.838877740350351
43,1.047160379341004
44,2.4440949128179175
45,1.36685626184105
46,0.6889575055418565
47,1.5163835058378357
48,1.2019742772116706
49,2.9037794550890164
50,1.6646855554913738
51,1.220907481640695
52,1.3719528031432202
53,1.0797933430444007
54,1.0540514150301203
55,0.9048520493228488
56,1.017329520211098
57,1.2677646740109334
58,1.7962685699131602
59,0.9323550423464924
60,1.1290455466178928
61,1.323264839501034
62,1.0010900604174138
63,1.4982438715615711
64,1.369427721066526
65,2.899900633094499
66,1.4982438715615711
67,1.369427721066526
68,2.899900633094499
69,1.4982438715615711
70,1.369427721066526
71,2.899900633094499
72,1.4982438715615711
73,1.369427721066526
74,2.899900633094499
75,0.0
76,0.0
77,0.0
78,1.3953328901956126
79,1.5431133363567242
80,1.9018187057678155
81,2.486687401450996
82,3.4430630742919104
83,2.886665463069572
84,2.4867355378134155
85,3.441198990609982
86,2.886665463069572
87,1.026937452737921
88,0.9080292844029739
89,1.064712296396297
90,0.9979155346315772
91,0.8988323565418738
92,1.6972943188344747
93,1.3018412022939665
94,1.3018412022939665
95,1.3018412022939665
96,1.9868819211319657
97,3.712589691129767
98,1.7462793525758817
99,2.4862722005768148
100,3.442319534729547
101,2.8859055528344246
102,0.15039463133248912
